playlist_genre,track_artist,track_href,uri,track_album_name,analysis_url,track_id,track_name,track_album_release_date,track_album_id,duration_ms,id
pop,"Lady Gaga, Bruno Mars",https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe,Die With A Smile,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe,2plbrEY59IikOBgBGLjaoe,Die With A Smile,16-08-2024,10FLjwfpbxLmW8c25Xyc2N,251668,2plbrEY59IikOBgBGLjaoe
pop,Billie Eilish,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,spotify:track:6dOtVTDdiauQNBQEDOtlAB,HIT ME HARD AND SOFT,https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,17-05-2024,7aJuG4TFXa2hmE4z1yxc3n,210373,6dOtVTDdiauQNBQEDOtlAB
pop,Gracie Abrams,https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad,spotify:track:7ne4VBA60CxGM75vw0EYad,The Secret of Us (Deluxe),https://api.spotify.com/v1/audio-analysis/7ne4VBA60CxGM75vw0EYad,7ne4VBA60CxGM75vw0EYad,That’s So True,18-10-2024,0hBRqPYPXhr1RkTDG3n4Mk,166300,7ne4VBA60CxGM75vw0EYad
pop,Sabrina Carpenter,https://api.spotify.com/v1/tracks/1d7Ptw3qYcfpdLNL5REhtJ,spotify:track:1d7Ptw3qYcfpdLNL5REhtJ,Short n' Sweet,https://api.spotify.com/v1/audio-analysis/1d7Ptw3qYcfpdLNL5REhtJ,1d7Ptw3qYcfpdLNL5REhtJ,Taste,23-08-2024,4B4Elma4nNDUyl6D5PvQkj,157280,1d7Ptw3qYcfpdLNL5REhtJ
pop,"ROSÉ, Bruno Mars",https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY,spotify:track:5vNRhkKd0yEAg8suGBpjeY,APT.,https://api.spotify.com/v1/audio-analysis/5vNRhkKd0yEAg8suGBpjeY,5vNRhkKd0yEAg8suGBpjeY,APT.,18-10-2024,2IYQwwgxgOIn7t3iF6ufFD,169917,5vNRhkKd0yEAg8suGBpjeY
pop,Chappell Roan,https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu,0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",05-04-2024,1WAjjRMfZjEXtB0lQrAw6Q,218424,0WbMK4wrZ1wFSty9F7FCgu
pop,Addison Rae,https://api.spotify.com/v1/tracks/6MzofobZt2dm0Kf1hTThFz,spotify:track:6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,https://api.spotify.com/v1/audio-analysis/6MzofobZt2dm0Kf1hTThFz,6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,09-08-2024,0XA403JTounqFh2owquBXu,169698,6MzofobZt2dm0Kf1hTThFz
pop,Billie Eilish,https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,HIT ME HARD AND SOFT,https://api.spotify.com/v1/audio-analysis/3QaPy1KgI7nu9FJEQUgn6h,3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,17-05-2024,7aJuG4TFXa2hmE4z1yxc3n,261467,3QaPy1KgI7nu9FJEQUgn6h
pop,Gigi Perez,https://api.spotify.com/v1/tracks/0UYnhUfnUj5adChuAXvLUB,spotify:track:0UYnhUfnUj5adChuAXvLUB,Sailor Song,https://api.spotify.com/v1/audio-analysis/0UYnhUfnUj5adChuAXvLUB,0UYnhUfnUj5adChuAXvLUB,Sailor Song,26-07-2024,4DWrYvfGXRE8ko5ZxlIpit,211979,0UYnhUfnUj5adChuAXvLUB
pop,"The Weeknd, Playboi Carti",https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL,spotify:track:1Es7AUAhQvapIcoh3qMKDL,Timeless,https://api.spotify.com/v1/audio-analysis/1Es7AUAhQvapIcoh3qMKDL,1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),27-09-2024,2IRxVVqbSbqHJo8Zx50LYn,256000,1Es7AUAhQvapIcoh3qMKDL
